Tahun ,Total_kendaraan,Sepeda motor,Mobil,Bis,Mobil_barang
1949,40.915,4.584,17.626,2.756,15.949
1950,51.209,5.546,22.164,5.870,17.629
1951,68.001,7.663,31.046,7.643,21.649
1952,91.462,16.468,39.435,8.474,27.085
1953,98.519,21.082,41.026,8.644,27.767
1954,169.276,58.504,59.606,9.415,41.751
1956,181.046,67.194,61.104,9.620,43.128
1957,235.206,99.079,73.219,11.498,51.410
1958,232.567,105.101,73.533,9.090,44.843
1959,244.592,113.339,74.819,9.882,46.552
1963,439.822,196.223,143.189,23.146,77.264
1964,481.536,220.953,157.471,19.541,83.571
1965,495.318,225.413,166.845,18.414,84.646
1966,573.748,281.779,179.494,19.584,92.891
1967,581.344,284.578,186.109,18.449,92.208
1968,622.174,308.404,201.743,19.610,92.417
1969,701.022,368.724,218.866,19.367,94.065
1970,804.733,440.005,238.924,23.541,102.263
1971,925.170,528.009,259.282,22.797,115.082
1972,1.050.093,615.220,277.210,26.488,131.175
1973,1.194.334,714.333,306.713,30.036,143.252
1974,1.480.418,944.733,337.789,31.439,166.457
1975,1.806.351,1.191.771,383.061,35.103,196.416
1976,2.103.383,1.419.375,420.945,40.001,223.062
1977,2.511.367,1.704.964,479.335,48.089,278.979
1978,2.920.834,1.990.250,535.442,58.389,336.753
1979,3.307.193,2.274.958,577.933,69.550,384.752
1980,3.871.557,2.671.978,639.464,86.284,473.831
1981,4.629.783,3.207.499,719.336,113.509,589.439
1982,5.346.995,3.764.442,791.019,134.430,657.104
1983,5.876.234,4.135.677,862.424,160.260,717.873
1984,6.510.778,4.556.095,972.148,191.654,790.881
1985,6.856.317,4.794.517,989.158,227.304,845.338
1986,7.321.771,5.118.907,1.063.959,256.574,882.331
1987,7.981.480,5.554.305,1.170.103,303.378,953.694
1988,7.771.019,5.419.531,1.073.106,385.731,892.651
1989,8.291.838,5.722.291,1.182.253,434.903,952.391
1990,8.889.022,6.082.966,1.313.210,468.550,1.024.296
1991,9.582.138,6.494.871,1.494.607,504.720,1.087.940
1992,10.197.955,6.941.000,1.590.750,539.943,1.126.262
1993,10.784.597,7.355.114,1.700.454,568.490,1.160.539
1994,11.928.837,8.134.903,1.890.340,651.608,1.251.986
1995,13.208.832,9.076.831,2.107.299,688.525,1.336.177
1996,14.530.095,10.090.805,2.409.088,595.419,1.434.783
1997,16.535.119,11.735.797,2.639.523,611.402,1.548.397
1998,17.611.767,12.628.991,2.769.375,626.680,1.586.721
1999,18.224.149,13.053.148,2.897.803,644.667,1.628.531
2000,18.975.344,13.563.017,3.038.913,666.280,1.707.134
2001,20.922.235,15.275.073,3.189.319,680.550,1.777.293
2002,22.985.183,17.002.130,3.403.433,714.222,1.865.398
2003,26.613.987,19.976.376,3.792.510,798.079,2.047.022
2004,30.541.954,23.061.021,4.231.901,933.251,2.315.781
2005,37.623.432,28.531.831,5.076.230,1.110.255,2.875.116
2006,43.313.052,32.528.758,6.035.291,1.350.047,3.398.956
2007,54.802.680,41.955.128,6.877.229,1.736.087,4.234.236
2008,61.685.063,47.683.681,7.489.852,2.059.187,4.452.343
2009,67.336.644,52.767.093,7.910.407,2.160.973,4.498.171
2010,76.907.127,61.078.188,8.891.041,2.250.109,4.687.789
2011,85.601.351,68.839.341,9.548.866,2.254.406,4.958.738
2012,94.373.324,76.381.183,10.432.259,2.273.821,5.286.061
2013,104.118.969,84.732.652,11.484.514,2.286.309,5.615.494
2014,114.209.260,92.976.240,12.599.038,2.398.846,6.235.136
2015,,,,,
2016,112.205.711,94.531.510,13.142.958,204512,4326731
2017,118.922.708,100.200.245,13.968.202,213359,4540902
2018,126.508.776,106657952,14830698,222872,4797254
2019,133.617.012,112771136,15592419,231569,5021888
2020,136.137.451,115023039,15797746,233261,5083405
2021,141.992.573,120042298,16413348,5299361,5299361